"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"69學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69學年","高級中學",13316,9595,0,8726,0,4,165,700,1073,7,155,0,0,388,0,0,46,477,472,2176
"69學年","高級職業學校",17347,2019,0,1446,0,10,191,372,12848,49,3439,0,0,8278,0,0,440,642,812,1668
"69學年","國民中學",42723,34129,0,4755,23035,3651,411,2277,3986,44,2371,0,0,1154,0,0,27,390,775,3833
"70學年","總計",74686,46149,0,14708,26556,75,828,3982,18082,239,6370,0,0,9759,0,0,568,1146,2197,8258
"70學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70學年","高級中學",14019,10233,0,9003,0,2,255,973,1175,7,270,0,0,628,0,0,51,219,522,2089
"70學年","高級職業學校",19091,2577,0,1458,0,14,201,904,13562,43,4168,0,0,8271,0,0,506,574,1154,1798
"70學年","國民中學",41576,33339,0,4247,26556,59,372,2105,3345,189,1932,0,0,860,0,0,11,353,521,4371
"71學年","總計",78048,46944,0,15438,26564,385,941,3616,19921,95,7317,0,0,9972,0,0,1183,1354,2025,9158
"71學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71學年","高級中學",14249,10156,0,9364,0,4,244,544,1254,4,134,0,0,347,0,0,502,267,152,2687
"71學年","高級職業學校",21435,2401,0,1466,0,23,262,650,15610,43,5266,0,0,8735,0,0,675,891,1283,2141
"71學年","國民中學",42364,34387,0,4608,26564,358,435,2422,3057,48,1917,0,0,890,0,0,6,196,590,4330
"72學年","總計",80345,44518,0,14737,27746,134,860,1041,19014,124,6711,0,0,9964,0,0,776,1439,4281,12532
"72學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72學年","高級中學",14084,9399,0,9124,0,42,200,33,1125,7,158,0,0,488,0,0,197,275,574,2986
"72學年","高級職業學校",22310,1676,0,1267,0,9,240,160,14818,58,4883,0,0,8438,0,0,570,869,1466,4350
"72學年","國民中學",43951,33443,0,4346,27746,83,420,848,3071,59,1670,0,0,1038,0,0,9,295,2241,5196
"73學年","總計",82850,44718,0,14573,28630,122,846,547,17173,91,6667,0,0,8594,0,0,638,1183,16036,4923
"73學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73學年","高級中學",14372,9430,0,9134,0,14,230,52,836,0,127,0,0,470,0,0,92,147,3438,668
"73學年","高級職業學校",23550,1699,0,1393,0,3,274,29,13488,59,4757,0,0,7291,0,0,532,849,5741,2622
"73學年","國民中學",44928,33589,0,4046,28630,105,342,466,2849,32,1783,0,0,833,0,0,14,187,6857,1633
"74學年","總計",83204,47125,0,14544,30835,48,886,812,18302,210,30,3460,749,9784,1405,628,1683,353,14180,3597
"74學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74學年","高級中學",14705,9239,0,9026,0,2,210,1,825,12,3,98,20,323,94,58,176,41,4068,573
"74學年","高級職業學校",23912,1656,0,1374,0,1,273,8,14968,153,24,2388,623,8818,1104,520,1095,243,5637,1651
"74學年","國民中學",44587,36230,0,4144,30835,45,403,803,2509,45,3,974,106,643,207,50,412,69,4475,1373
"75學年","總計",82506,47266,0,15847,29990,6,570,853,18291,144,48,3557,513,8350,1929,1148,1445,1157,14109,2840
